Aeridani Troopers	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Kaeshar	Taneba Vokigei	3	93	95	94	34	23	85	70	90	83	19	52	B	22	68.55	-1	3	1	108	443
Tri_National_Dominion	Asser Stengel	4	49	33	68	102	58	73	81	33	72	8	48	B	23	69.39	886	2	1	87	364
Aiyota	Jaroweer	5	43	30	80	99	97	98	62	36	76	87	74	C+	21	78.67	-1	1	1	14	57
Dotruga	Abosa Aludetsei 	1	37	32	5	10	15	82	94	100	40	56	65	B	24	56.56	1201	1	1	250	2392
Wyverncliff	Quinten Grabochov	2	85	62	58	15	45	39	46	96	84	41	49	B+	23	59.29	143	1	1	340	1757
Bongatar	Bongatar Player #9	3	10	19	100	102	100	34	34	20	80	49	64	C+	31	65.12	698	1	1	166	792
Aeridani	Big G	4	30	5	74	66	57	74	59	35	104	48	53	C+	28	67.66	705	2	1	133	499
Aiyota	Aiyota Player #13	5	12	24	88	85	62	40	34	28	62	50	46	B	28	55.72	896	1	1	503	2556
Dotruga	Abosa Aludetsei 	1	37	32	5	10	15	82	94	100	40	56	65	B	24	56.56	1201	1	1	250	2392
Wyverncliff	Quinten Grabochov	2	85	62	58	15	45	39	46	96	84	41	49	B+	23	59.29	143	1	1	340	1757
Aeridani	Kiro Sensoi	3	28	23	86	87	9	24	100	63	89	45	54	C+	27	64.89	889	3	1	180	821
Dotruga	Carlos Garber	4	53	18	79	81	43	19	79	23	83	49	90	C	24	62.91	885	2	1	335	1068
Barsein	Barsein Player #8	5	38	32	73	67	49	56	74	18	46	53	50	C+	28	55.21	925	1	1	525	2668
Detroit Pumps	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Blaist_Blaland	Pixtij Lekaxo	1	103	76	34	30	25	60	78	77	57	53	54	B	27	55.96	242	1	1	301	2495
Shmupland	Chu Sung-Soo	2	90	95	44	33	28	71	80	72	51	83	94	D+	24	60.70	-1	-1	1	266	1503
Tri_National_Dominion	Alfred Herber	3	65	90	94	33	43	54	60	93	95	76	66	C+	20	68.37	-1	1	1	110	453
Aeridani	Big G	4	30	5	74	66	57	74	59	35	104	48	53	C+	28	67.66	705	2	1	133	499
Lyintaria	Old Player	5	48	26	85	91	65	56	76	25	55	13	82	C+	34	66.34	45	2	1	145	638
Ethanthova	Grant Miller	1	81	103	23	27	38	64	39	92	77	28	53	C	25	55.76	324	1	1	310	2520
Blaist_Blaland	Pitro Tenopro	2	36	98	37	43	43	55	56	86	64	48	95	D+	28	60.04	249	3	1	288	1648
Holy_Yektonisa	Malo Phothisarath	3	57	53	84	40	47	100	88	48	54	62	98	C	23	67.13	-1	-1	1	132	558
Aeridani	Big G	4	30	5	74	66	57	74	59	35	104	48	53	C+	28	67.66	705	2	1	133	499
Hinaika	Tise Aq'aie	5	30	23	98	55	100	24	68	79	57	11	92	D+	21	67.47	-1	3	1	124	531
Ethanthova	Grant Miller	1	81	103	23	27	38	64	39	92	77	28	53	C	25	55.76	324	1	1	310	2520
Barsein	Sugimoto Minoru	2	90	94	28	12	30	57	64	99	52	23	96	C+	22	57.58	-1	1	1	490	2193
Other	Jesse Fine	3	57	59	73	20	90	87	91	43	60	46	79	D+	22	66.37	-1	3	1	147	626
Dotruga	Alomibamobei Olalomundi	4	50	31	92	79	68	74	60	10	61	67	60	C	20	65.49	750	1	1	207	730
Tri_National_Dominion	Niclas Unterberger	5	46	53	67	58	71	35	80	99	55	58	91	D+	26	63.58	252	3	1	230	946
Red-Rainbow Reds	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Ethanthova	Dylan Cass	1	66	62	37	27	19	36	79	103	62	82	94	C+	26	58.66	222	1	1	160	1967
Transhimalia	Higashi Kiyohira	2	40	49	63	13	26	46	96	90	50	74	92	D+	24	62.15	-1	2	1	229	1237
Sagua	Bá Nonhkwaqan	3	65	87	76	47	60	50	88	46	73	7	95	C+	19	65.05	-1	2	1	175	810
Sagua	Sagua Player #3	4	17	41	102	96	35	49	68	41	56	47	100	C+	31	67.35	203	1	1	162	537
Dotruga	Dano Mesiaertoxek	5	52	54	99	77	79	46	84	13	97	48	63	C	27	71.28	201	-3	10	74	267
Aeridani	Masaki Kazuko	1	80	100	30	35	25	102	35	69	81	104	60	D+	29	59.06	84	-3	6	159	1812
Dotruga	Kapel Hilo	2	85	83	47	45	38	48	55	73	74	49	85	B	25	58.67	62	1	1	418	1949
Other	Brian Perch	3	42	42	95	67	35	54	65	29	73	31	94	C	22	61.90	-1	3	1	260	1280
Auspikitan	Śonpennneŕgomà Qe	4	78	41	77	89	24	52	73	22	60	13	46	B	24	58.65	802	1	1	563	1970
Pentadominion	Gàp Peśqu	5	56	49	68	97	99	59	43	37	51	90	93	C	22	67.28	-1	1	1	128	544
Dotruga	Danombi Chejijar	1	37	41	20	24	50	77	96	91	22	53	59	C+	20	56.32	686	1	1	259	2420
Dotruga	Kapel Hilo	2	85	83	47	45	38	48	55	73	74	49	85	B	25	58.67	62	1	1	418	1949
Dotruga	Danomobei Kixidosu	3	39	36	78	47	81	34	78	90	45	11	95	F+	21	63.40	-1	2	1	193	972
Auspikitan	Śonpennneŕgomà Qe	4	78	41	77	89	24	52	73	22	60	13	46	B	24	58.65	802	1	1	563	1970
Ethanthova	William Spicer	5	78	34	48	72	87	57	71	82	58	16	52	C	26	64.83	204	3	1	209	825
Shigua Boots	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Aeridani	Komatsu Toyozo	1	95	99	65	13	38	96	91	93	44	98	94	C	23	68.91	-1	2	1	24	423
Aeridani	Hvanne Takakazu	2	68	104	57	60	55	56	80	104	60	47	62	C	32	68.85	47	0	9.3	74	431
Other	Jesse Svensson	3	73	93	100	49	77	93	56	52	63	95	92	C+	26	70.63	-1	2	1	78	296
Aeridani	Big G	4	30	5	74	66	57	74	59	35	104	48	53	C+	28	67.66	705	2	1	133	499
Wyverncliff	Xavier Wilcox	5	58	10	60	72	79	89	58	91	56	41	60	C+	26	68.40	58	1	1	113	449
Blaist_Blaland	Naxnoxsoya Liksov	1	63	95	35	34	44	58	97	70	41	51	93	B	26	58.40	53	1	1	162	2003
Ethanthova	Dylan Fowler	2	44	102	50	53	45	64	103	79	56	50	45	C+	28	65.83	377	3	1	112	703
Other	Jesse Svensson	3	73	93	100	49	77	93	56	52	63	95	92	C+	26	70.63	-1	2	1	78	296
Aahrus	Eto Yasuoka	4	99	99	90	50	47	88	52	29	99	34	90	D	22	68.93	-1	1	1	109	411
Kaeshar	Dipaia Fekku	5	52	65	93	92	97	39	70	82	15	29	68	C+	20	68.36	-1	1	1	115	456
Bielosia	Kawaii Thepsenavong	1	100	93	14	10	33	60	65	91	87	57	79	C	22	59.54	-1	1	1	151	1706
Ethanthova	Dylan Fowler	2	44	102	50	53	45	64	103	79	56	50	45	C+	28	65.83	377	3	1	112	703
Height_Sagua	Height Sagua Player #3	3	76	101	70	73	60	54	62	76	92	47	78	C+	32	70.17	48	-2	6.7	89	325
Blaist_Blaland	Noxku Noxtan	4	100	53	101	102	11	50	61	48	54	61	55	B	26	62.99	349	1	1	317	1040
Darvincia	Abi Rrasab	5	86	49	76	58	91	53	46	33	89	27	86	C	22	65.35	-1	2	1	182	754
Holy Yektonisa Hmongs	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Blaist_Blaland	Blanaxon Player #1	1	88	79	31	30	43	92	41	78	47	53	98	B	30	56.64	152	1	1	243	2383
Blaist_Blaland	Kolpa Uxyakro	2	83	66	56	63	15	62	56	89	69	54	98	B	25	64.24	412	2	1	144	875
Aiyota	Guooka	3	9	41	96	71	74	58	73	45	63	11	104	C	24	68.95	948	0	1	102	408
Bielosia	Aulii Thonemany	4	95	85	98	96	41	72	42	39	45	15	90	C+	25	65.29	144	2	1	223	765
Blaist_Blaland	Zaxkla Kukroda	5	26	23	58	69	100	75	52	27	58	91	84	C+	22	65.20	-1	1	1	198	782
Barsein	Alve Sanraku	1	39	61	43	5	15	68	88	88	36	50	61	B	20	54.86	947	1	1	388	2742
Dotruga	Alotru Amodetsei 	2	65	29	32	15	37	57	64	83	101	63	74	C	24	63.11	1224	2	1	174	1030
Blaist_Blaland	Iix Noxtan	3	91	85	92	48	53	46	54	77	97	70	88	D+	21	68.83	-1	2	1	105	434
Bielosia	Aulii Thonemany	4	95	85	98	96	41	72	42	39	45	15	90	C+	25	65.29	144	2	1	223	765
Blaist_Blaland	Zaxkla Kukroda	5	26	23	58	69	100	75	52	27	58	91	84	C+	22	65.20	-1	1	1	198	782
Solea	kalassak vekel álutep	1	76	24	47	54	12	98	29	89	56	51	53	D+	29	57.90	855	1	1	187	2144
Aiyota	Munglegarra	2	33	47	40	43	80	69	71	82	56	88	66	C	29	62.89	571	3	1	187	1088
Pyxanovia	Xaisomboun Thammavong	3	62	66	72	27	73	57	76	47	93	47	98	D+	23	66.60	-1	1	1	145	613
Barsein	Ametsuchi Kamlyn	4	32	19	62	55	57	64	76	5	97	53	48	D+	23	61.15	946	1	1	447	1461
Sagua	Sagua Player #6	5	40	36	93	86	51	79	36	28	69	50	51	C+	29	61.88	708	3	1	295	1288
