University of Pxalit'k'a players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Keon Thiamphasone,46,1430,162,483,504,228,45.2380952380952,1,1,33,24,36,23,176,36,140,53,736,371,50.4076086956522, -3.06521739130435
Kelii Sayasone,32,1374,262,851,749,425,56.7423230974633,0,0,2,1,41,16,164,37,127,36,707,404,57.1428571428571, -6.34375
Lae Keothavong,32,1491,601,916,749,384,51.2683578104139,236,58,0,0,39,22,243,55,188,32,662,320,48.3383685800604, -4.21875
Kimo Phomsouvanh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
Kelii Sayasone,49,946,180,478,428,228,53.2710280373832,51,9,0,0,25,16,181,52,129,65,480,253,52.7083333333333, 3.57142857142857
Mya Saengsavang,23,334,44,164,133,67,50.3759398496241,42,9,0,0,9,4,30,5,25,30,168,76,45.2380952380952, 2.60869565217391
Kanoa Khamchanh,45,1637,252,912,751,449,59.7869507323569,0,0,18,14,42,22,183,40,143,41,833,421,50.5402160864346, 9.84444444444445
Lilo Thonemany,5,87,18,46,40,20,50,14,3,0,0,0,0,12,0,12,8,31,16,51.6129032258064, 1.2
Bane Phomsouvanh,11,139,0,4,3,2,66.6666666666667,0,0,0,0,0,0,34,13,21,0,2,0,0, -2.09090909090909
Lae Inthisane,61,1275,245,664,590,329,55.7627118644068,0,0,8,6,31,21,355,99,256,113,552,246,44.5652173913043, 3.78688524590164
Keon Saysamongdy,7,85,8,48,38,19,50,5,0,0,0,2,0,15,3,12,8,46,20,43.4782608695652, -0.142857142857143
Kalei Phomsouvanh,16,292,53,178,147,89,60.5442176870748,0,0,0,0,10,3,34,8,26,21,149,68,45.6375838926175, 8.375
Koa Phommasane,2,16,7,16,9,7,77.7777777777778,3,2,0,0,0,1,1,0,1,1,5,3,60, 5
University of Svitharia players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Nathaniel Fine,128,6130,0,5,3,2,66.6666666666667,2,1,0,0,5,0,1277,270,1007,2,20,8,40, -4.5078125
Johan Keaton,42,1410,216,664,661,331,50.0756429652042,0,0,6,2,41,18,388,96,292,74,671,328,48.8822652757079, -3.54761904761905
Daniel Ebron,97,3921,438,1338,1402,655,46.7189728958631,0,0,78,28,153,34,419,109,310,169,1753,886,50.5419281232173, -6.35051546391753
Asher Wilcox,67,2852,511,1672,1470,746,50.7482993197279,354,96,4,1,114,33,420,96,324,67,1399,742,53.0378842030021, -7.37313432835821
Zac Erickson,128,5923,1989,3348,2837,1359,47.9027141346493,1072,296,14,8,192,77,928,210,718,98,2533,1267,50.0197394393999, -4.125
Steve Starks,2,26,0,0,0,0,0,0,0,0,0,0,0,7,2,5,0,0,0,0, 1.5
Johan Lolant,23,455,27,181,182,88,48.3516483516484,0,0,10,5,20,5,90,16,74,47,202,99,49.009900990099, -0.173913043478261
Jesse Byrne,7,74,12,26,21,13,61.9047619047619,0,0,0,0,2,0,7,2,5,8,26,14,53.8461538461538, -1
Quinten Fine,8,160,34,83,73,36,49.3150684931507,22,2,0,0,7,9,12,3,9,12,65,20,30.7692307692308, -0.5
Alex Boyle,3,38,11,26,19,11,57.8947368421053,8,4,0,0,1,0,5,1,4,0,21,9,42.8571428571429, -2
Juri Boyle,2,17,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0, -4
Max Starks,4,45,2,25,19,11,57.8947368421053,5,1,0,0,4,0,7,3,4,3,20,8,40, -0.5
Daniel Keaton,115,1361,215,689,579,340,58.7219343696028,0,0,16,9,29,22,179,40,139,51,624,340,54.4871794871795, -0.208695652173913
Travis Grabochov,4,55,5,16,17,8,47.0588235294118,0,0,0,0,1,0,10,6,4,0,21,9,42.8571428571429, -1.5
Xavier Lolant,10,140,33,133,101,57,56.4356435643564,33,11,0,0,4,0,19,4,15,12,72,43,59.7222222222222, -2.3
University of Soniara players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Yoade Vuchko,44,803,18,43,46,20,43.4782608695652,0,0,4,3,8,1,287,68,219,6,53,26,49.0566037735849, 0.0227272727272727
Xavier Erickson,69,1981,132,611,675,301,44.5925925925926,0,0,20,9,82,22,350,84,266,103,934,475,50.8565310492505, -1.05797101449275
Asher Svensson,34,788,99,367,323,148,45.8204334365325,111,33,10,4,31,3,90,28,62,31,333,175,52.5525525525526, 1.26470588235294
Doran Turner,64,1201,339,592,509,289,56.7779960707269,12,4,16,9,48,20,139,28,111,24,590,319,54.0677966101695, 0.109375
Dimitri Turner,32,1091,291,717,573,291,50.7853403141361,192,54,0,0,44,12,169,44,125,12,402,205,50.9950248756219, 2.75
Doran Boyle,122,4236,6,52,43,25,58.1395348837209,0,0,2,2,8,1,1042,265,777,6,45,22,48.8888888888889, -1.49180327868852
Jesse Traenfeglia,24,594,92,241,274,118,43.0656934306569,0,0,8,5,21,10,109,24,85,28,294,169,57.4829931972789, 2.75
Matthew Wilcox,52,1870,406,1031,884,515,58.2579185520362,0,0,4,1,48,16,188,43,145,96,743,348,46.8371467025572, -1.65384615384615
Doran Turner,9,154,19,102,93,42,45.1612903225806,33,7,2,0,1,1,12,4,8,3,79,54,68.3544303797468, 2
Xavier Perch,11,206,40,117,104,47,45.1923076923077,40,12,6,3,6,2,24,6,18,4,86,43,50, 3.63636363636364
Max Keaton,50,1155,87,0,0,0,0,0,0,0,0,0,0,551,159,392,0,4,0,0, 1.72
Xavier Drake,24,429,32,200,227,99,43.6123348017621,0,0,10,2,21,2,91,19,72,26,229,135,58.9519650655022, 0.375
Zac Vuchko,27,487,122,274,219,111,50.6849315068493,68,22,3,2,15,5,55,13,42,40,180,70,38.8888888888889, 3.03703703703704
Brian Grabochov,13,261,37,154,122,77,63.1147540983607,0,0,0,0,5,5,35,9,26,5,124,69,55.6451612903226, 3.84615384615385
Alex Perch,44,1774,671,874,782,437,55.8823529411765,0,0,0,0,52,19,197,61,136,25,786,405,51.5267175572519, -2.63636363636364
University of Kholka players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Daniel Grabochov,64,3051,0,0,0,0,0,0,0,0,0,1,0,879,218,661,4,13,8,61.5384615384615, -1.15625
Jesse Svensson,37,1419,115,223,242,105,43.3884297520661,0,0,24,13,65,13,290,59,231,49,619,311,50.2423263327948, -3.24324324324324
Travis McSteve,32,493,84,296,348,128,36.7816091954023,0,0,62,40,22,3,90,16,74,34,186,85,45.6989247311828, -1.1875
Yoade Drake,32,1541,77,718,676,271,40.0887573964497,273,69,54,30,84,21,156,30,126,11,684,382,55.8479532163743, -3.9375
Nathaniel Svensson,65,2676,322,1401,1141,550,48.2033304119194,480,136,20,10,107,38,351,69,282,26,1106,587,53.0741410488246, -1.52307692307692
Steve Svensson,33,784,1,0,1,0,0,0,0,0,0,0,1,178,33,145,1,9,5,55.5555555555556, -1.57575757575758
Travis Keaton,48,1524,135,585,616,287,46.5909090909091,0,0,18,11,57,16,404,114,290,82,600,279,46.5, 1.91666666666667
Quinten Grabochov,60,1706,592,909,813,382,46.9864698646986,281,79,9,4,58,21,250,55,195,77,584,285,48.8013698630137, 0.216666666666667
Pat Grabochov,34,696,107,434,345,217,62.8985507246377,0,0,0,0,15,11,83,24,59,20,351,171,48.7179487179487, 2.47058823529412
Juri Vuchko,11,237,45,72,86,36,41.8604651162791,0,0,0,0,10,4,25,8,17,3,94,51,54.2553191489362, -3.09090909090909
Dimitri Boyle,19,499,0,0,0,0,0,0,0,0,0,0,0,99,24,75,1,7,2,28.5714285714286, -0.894736842105263
Quinten Svensson,20,396,76,176,178,88,49.438202247191,0,0,4,0,11,5,78,15,63,45,163,82,50.3067484662577, -0.8
Bob Jordanov,25,652,184,339,378,163,43.1216931216931,0,0,38,13,27,14,113,22,91,34,193,91,47.1502590673575, -3.4
Matthew Byrne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
Yoade McBob,11,185,37,102,79,43,54.4303797468354,26,13,0,0,10,2,22,7,15,4,70,33,47.1428571428571, 4.63636363636364
University of Aavana players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Brian Perch,97,3371,0,0,0,0,0,0,0,0,0,2,0,904,216,688,2,14,4,28.5714285714286, -7.78350515463918
Stephen Byrne,71,2674,233,760,813,357,43.9114391143911,0,0,98,46,114,26,462,100,362,98,1213,652,53.7510305028854, -8.95774647887324
Travis Vuchko,67,2460,582,716,700,301,43,205,50,20,5,99,28,263,65,198,87,1062,549,51.6949152542373, -7.61194029850746
Alex Tooli,75,2800,275,1973,1690,986,58.3431952662722,0,0,4,1,120,23,340,98,242,50,1236,671,54.2880258899676, -8
Thomas Erickson,32,968,329,276,287,138,48.0836236933798,0,0,0,0,42,4,104,25,79,11,415,206,49.6385542168675, -5.3125
Stephen Keaton,11,220,0,0,0,0,0,0,0,0,0,0,0,65,8,57,0,0,0,0, -4.09090909090909
Steve Erickson,54,1702,103,863,795,424,53.3333333333333,0,0,36,15,95,20,296,54,242,90,751,393,52.3302263648469, -6.07407407407407
Nathaniel Byrne,24,383,169,260,220,121,55,29,9,4,3,12,8,73,17,56,36,175,83,47.4285714285714, 0.458333333333333
Zac Fine,9,191,16,159,145,66,45.5172413793103,49,11,0,0,6,2,27,4,23,3,82,46,56.0975609756098, -1.55555555555556
Doran Starks,13,154,34,80,65,33,50.7692307692308,19,7,0,0,5,0,23,9,14,3,72,27,37.5, 0.615384615384615
Juri Atlier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
Stephen Tooli,6,93,11,50,50,25,50,0,0,0,0,3,1,20,5,15,9,52,23,44.2307692307692, 2.83333333333333
Nathaniel Atlier,3,38,2,14,12,6,50,5,2,0,0,0,0,5,1,4,4,19,5,26.3157894736842, 3.33333333333333
Yoade Vuchko,20,339,47,279,219,118,53.8812785388128,64,19,0,0,19,2,69,12,57,9,146,81,55.4794520547945, -4.05
Xavier Traenfeglia,37,914,356,596,447,262,58.6129753914989,93,34,0,0,23,14,99,28,71,40,324,160,49.3827160493827, -4.18918918918919
University of Floria players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Stephen McSteve,64,3072,0,0,0,0,0,0,0,0,0,1,1,668,136,532,2,24,15,62.5, 0.96875
Zac Grabochov,34,1072,52,357,324,156,48.1481481481481,69,12,8,6,43,14,331,90,241,77,431,205,47.5638051044084, 2.44117647058824
Matthew Lolant,58,1654,262,1047,875,410,46.8571428571429,270,79,37,28,51,28,218,58,160,81,719,348,48.4005563282337, 1.62068965517241
Nathaniel Byrne,33,1458,643,834,771,415,53.8261997405966,0,0,8,4,43,23,193,52,141,63,705,343,48.6524822695035, 1.45454545454545
Bob Boyle,98,2589,484,1148,1041,490,47.0701248799232,310,66,15,6,89,22,369,104,265,34,1350,684,50.6666666666667, -1.61224489795918
Stephen Grabochov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
Juri Wilcox,13,238,21,93,100,45,45,0,0,6,3,9,3,33,7,26,22,121,64,52.8925619834711, 0.0769230769230769
Thomas Vuchko,15,265,58,150,124,62,50,33,11,0,0,9,3,28,7,21,31,125,54,43.2, 5.13333333333333
Shadd Tooli,20,331,36,274,201,137,68.1592039800995,0,0,0,0,16,35,29,3,26,32,136,45,33.0882352941176, 3.35
Travis Wilcox,2,38,11,34,21,14,66.6666666666667,4,2,0,0,0,0,6,1,5,1,18,10,55.5555555555556, 2.5
Zac Boyle,32,1527,1,12,12,5,41.6666666666667,3,0,0,0,1,0,334,69,265,0,17,11,64.7058823529412, -3.8125
Travis Grabochov,16,263,43,97,85,48,56.4705882352941,0,0,2,1,9,1,36,8,28,28,117,66,56.4102564102564, -0.1875
Shadd Ebron,2,20,2,9,6,3,50,2,0,1,0,2,0,1,0,1,1,17,7,41.1764705882353, 1.5
Max Traenfeglia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
Daniel Atlier,2,25,5,14,7,7,100,0,0,0,0,0,0,5,2,3,0,13,5,38.4615384615385, 3.5
University of Eirnvse players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Xavier Grabochov,32,1522,0,2,1,1,100,0,0,0,0,2,0,539,150,389,3,9,7,77.7777777777778, 1.625
Steve Erickson,77,2753,263,1491,1357,615,45.3205600589536,485,137,10,4,110,37,562,129,433,165,1171,567,48.4201537147737, 2.11688311688312
Dimitri Boyle,106,3815,922,1853,1896,896,47.2573839662447,0,0,86,61,104,47,488,110,378,144,1719,888,51.6579406631763, 1.33018867924528
Max Perch,96,4491,919,2496,2146,1004,46.784715750233,741,230,40,25,122,49,538,128,410,74,2254,1230,54.5696539485359, 2.10416666666667
Doran Wells,33,1546,285,423,452,210,46.4601769911504,0,0,8,3,51,21,197,41,156,18,773,361,46.7011642949547, 1.72727272727273
Alex McSteve,39,1683,54,2,1,1,100,0,0,0,0,4,0,690,174,516,1,4,2,50, 4.15384615384615
Xavier Starks,24,415,45,252,210,123,58.5714285714286,0,0,6,6,12,4,75,20,55,32,217,112,51.6129032258064, 0.916666666666667
Thomas Ebron,13,223,49,123,99,51,51.5151515151515,36,12,0,0,5,2,30,8,22,31,113,46,40.7079646017699, 3.69230769230769
Juri Jordanov,6,67,12,35,32,15,46.875,17,5,0,0,0,1,9,2,7,7,33,15,45.4545454545455, 4.83333333333333
Brian Wilcox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
Quinten Vuchko,1,11,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,1,33.3333333333333, 6
Thomas Wilcox,40,467,94,185,171,92,53.8011695906433,0,0,6,1,15,5,123,25,98,35,227,100,44.0528634361233, 1.775
Bob Traenfeglia,8,103,20,25,33,12,36.3636363636364,0,0,4,1,5,2,16,3,13,9,51,23,45.0980392156863, -2
Asher Byrne,1,21,3,25,17,10,58.8235294117647,6,5,0,0,1,1,1,0,1,4,6,5,83.3333333333333, 24
Asher Hoover,32,1512,515,858,710,429,60.4225352112676,0,0,0,0,46,24,202,47,155,36,482,201,41.701244813278, 4.21875
University of Venasul players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Asher Byrne,32,1541,0,0,0,0,0,0,0,0,0,0,0,367,95,272,0,3,0,0, -0.65625
Daniel Erickson,52,1281,118,752,745,369,49.5302013422819,0,0,18,14,75,11,442,108,334,99,565,278,49.2035398230089, -1.42307692307692
Max McSteve,65,2668,198,1231,1018,485,47.6424361493124,414,123,21,6,159,30,326,62,264,83,1259,585,46.4654487688642, -3.61538461538462
Yoade Hoover,128,5749,444,2325,2108,920,43.6432637571158,895,228,30,14,234,67,664,156,508,172,2879,1481,51.4414727335881, -0.09375
Zac Traenfeglia,96,3672,1375,1261,1211,586,48.3897605284889,173,51,16,6,115,48,448,104,344,58,1655,851,51.4199395770393, -1.375
Zac Wilcox,96,1543,0,0,1,0,0,0,0,0,0,0,1,343,57,286,0,13,5,38.4615384615385, -1.14583333333333
Zac Perch,60,1752,231,1196,1080,495,45.8333333333333,348,94,9,7,87,38,539,120,419,108,561,224,39.9286987522282, -0.166666666666667
Stephen Vuchko,50,1791,339,1108,947,459,48.4688489968321,334,98,6,4,61,26,204,36,168,46,758,383,50.5277044854881, 1.1
Johan Starks,6,73,9,48,46,21,45.6521739130435,16,1,0,0,3,4,12,3,9,6,50,29,58, 2.33333333333333
Doran Wells,32,774,251,396,334,173,51.7964071856287,83,23,0,0,29,10,121,34,87,31,309,159,51.4563106796116, -0.375
Dimitri Svensson,96,1246,0,0,1,0,0,0,0,0,0,2,0,310,66,244,0,2,0,0, -0.104166666666667
Steve Svensson,11,175,20,48,66,22,33.3333333333333,0,0,10,4,4,0,48,9,39,4,69,28,40.5797101449275, -4.09090909090909
Asher Lolant,12,186,11,131,108,53,49.0740740740741,37,12,4,3,4,6,31,9,22,15,92,33,35.8695652173913, 5.83333333333333
Jesse Drake,37,627,41,266,241,130,53.9419087136929,0,0,20,6,17,9,61,16,45,29,324,172,53.0864197530864, 0.27027027027027
Max McBob,19,379,140,256,231,121,52.3809523809524,23,7,0,0,11,6,48,17,31,5,174,89,51.1494252873563, 0.263157894736842
University of Ncov Ntiajeb players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Zac Traenfeglia,64,3082,0,0,0,0,0,0,0,0,0,0,1,700,193,507,3,16,10,62.5, 4.109375
Nathaniel Hoover,66,2442,263,1245,1155,619,53.5930735930736,0,0,12,7,76,32,392,107,285,155,1050,519,49.4285714285714, 1.46969696969697
Stephen Turner,128,4908,391,873,882,432,48.9795918367347,0,0,40,9,199,64,504,118,386,213,2212,1107,50.0452079566004, -0.5234375
Thomas Turner,41,1530,395,1090,783,458,58.492975734355,240,98,0,0,36,19,173,41,132,58,737,332,45.0474898236092, 5.80487804878049
Brian Starks,48,259,84,177,146,74,50.6849315068493,49,25,0,0,5,4,64,24,40,11,71,32,45.0704225352113, 1.41666666666667
Brian Perch,3,30,0,4,2,2,100,0,0,0,0,0,0,9,1,8,1,1,1,100, 8
Xavier Lolant,12,162,22,78,73,38,52.0547945205479,0,0,2,2,2,2,31,8,23,21,74,30,40.5405405405405, 4.58333333333333
Steve Boyle,21,265,40,134,117,57,48.7179487179487,34,12,0,0,8,4,30,8,22,27,123,60,48.780487804878, 0.571428571428571
Asher Fine,52,1079,227,682,571,289,50.6129597197898,186,56,6,6,34,12,157,36,121,40,585,291,49.7435897435897, -1.28846153846154
Yoade Hoover,30,643,316,294,252,131,51.984126984127,51,19,8,3,15,4,61,19,42,21,292,157,53.7671232876712, 3.83333333333333
Bob McBob,38,1655,0,0,0,0,0,0,0,0,0,1,0,563,125,438,0,3,1,33.3333333333333, -0.0789473684210526
Max Svensson,12,156,26,92,71,46,64.7887323943662,0,0,0,0,3,5,33,11,22,16,56,21,37.5, 7.16666666666667
Doran Atlier,23,471,134,232,211,115,54.5023696682464,0,0,2,2,5,57,57,11,46,57,182,66,36.2637362637363, 8.17391304347826
Dimitri Ebron,2,11,1,9,8,4,50,3,0,0,0,0,0,0,0,0,0,2,1,50, 2
Asher McBob,30,801,69,374,313,151,48.2428115015974,124,37,5,2,26,14,89,18,71,8,366,176,48.0874316939891, 3.46666666666667
University of Zhiwasen players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Matthew Svensson,64,1787,12,32,31,16,51.6129032258064,0,0,2,0,11,5,400,72,328,17,134,73,54.4776119402985, -6.859375
Doran Keaton,32,1220,92,405,490,195,39.7959183673469,0,0,42,15,78,23,347,77,270,95,487,222,45.5852156057495, -17.25
Max Drake,41,1517,160,369,472,153,32.4152542372881,0,0,118,63,80,12,176,32,144,49,735,414,56.3265306122449, -16.1707317073171
Yoade Traenfeglia,51,1947,181,768,912,372,40.7894736842105,0,0,50,24,173,17,276,56,220,33,928,529,57.0043103448276, -14.7843137254902
Xavier Svensson,38,1579,520,941,791,366,46.2705436156764,359,116,17,11,70,20,223,49,174,32,663,336,50.6787330316742, -16.8157894736842
Brian Boyle,16,249,0,0,0,0,0,0,0,0,0,0,0,70,12,58,1,3,1,33.3333333333333, -6.5625
Max Boyle,41,657,34,423,381,167,43.8320209973753,164,39,10,6,42,10,157,41,116,27,260,132,50.7692307692308, -1.90243902439024
Bob Wells,8,93,13,45,43,18,41.8604651162791,20,7,0,0,2,0,10,3,7,6,47,22,46.8085106382979, -0.5
Jesse Keaton,4,52,5,41,37,16,43.2432432432432,16,5,2,1,0,1,2,0,2,3,21,14,66.6666666666667, 0.75
Quinten Byrne,4,86,9,92,63,35,55.5555555555556,33,22,0,0,2,1,11,0,11,5,32,11,34.375, 7.5
Quinten Tooli,16,519,0,0,0,0,0,0,0,0,0,1,0,138,25,113,0,9,6,66.6666666666667, -11.9375
Jesse McBob,75,983,103,541,535,265,49.5327102803738,0,0,20,11,39,15,266,48,218,73,431,231,53.5962877030162, -1.82666666666667
Shadd Starks,3,48,5,16,10,8,80,0,0,0,0,2,0,6,1,5,7,20,9,45, -2.66666666666667
Zac Tooli,3,45,2,11,19,5,26.3157894736842,4,0,0,0,1,0,5,1,4,2,24,11,45.8333333333333, 2.33333333333333
Doran Grabochov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
University of Vincent players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Jasper Miller,64,2696,0,0,0,0,0,0,0,0,0,1,0,832,208,624,4,14,11,78.5714285714286, -1.515625
Conor Conway,96,3888,536,1236,1235,596,48.2591093117409,75,19,20,11,123,41,712,172,540,172,1831,948,51.7749863462589, -3.76041666666667
Nestor Barnett,66,1657,389,1003,849,497,58.5394581861013,0,0,16,9,28,21,179,38,141,100,850,420,49.4117647058824, -1.95454545454545
Nicholas Chandler,39,526,103,328,260,134,51.5384615384615,93,19,0,0,13,6,55,15,40,23,271,144,53.1365313653137, 1.25641025641026
Laurence Brown,128,5122,889,2410,2209,1174,53.1462200090539,72,21,42,20,179,87,724,177,547,191,1995,891,44.6616541353383, -4.3046875
Gerard Kirk,41,1684,2,0,0,0,0,0,0,0,0,0,0,538,128,410,1,2,2,100, -7.41463414634146
Thomas Palmer,29,412,96,170,184,83,45.1086956521739,0,0,6,4,8,4,83,22,61,29,202,114,56.4356435643564, 0.655172413793103
Fletcher Varney,41,500,53,249,222,115,51.8018018018018,22,9,12,7,11,7,76,17,59,40,244,110,45.0819672131148, -0.804878048780488
Gerard Miller,25,346,70,207,175,82,46.8571428571429,66,17,3,3,10,4,49,13,36,3,166,82,49.3975903614458, 1.8
Julian Roberts,21,259,104,134,122,67,54.9180327868852,0,0,0,0,8,3,31,11,20,9,123,59,47.9674796747967, -1.14285714285714
Caleb Elliott,3,66,4,0,0,0,0,0,0,0,0,0,0,36,12,24,0,0,0,0, 3
Bruce Cass,30,363,73,153,179,73,40.7821229050279,0,0,10,7,7,3,61,15,46,37,164,84,51.219512195122, 0.3
William Gilroy,83,2530,568,1473,1364,652,47.8005865102639,281,86,17,10,87,23,340,77,263,108,1211,618,51.0322047894302, -2.42168674698795
Greg Spivey,73,2323,399,1082,1020,541,53.0392156862745,0,0,4,0,74,32,265,67,198,106,1069,510,47.7081384471469, -2.50684931506849
Uriah Kirk,8,113,25,54,49,23,46.9387755102041,17,4,0,0,3,0,18,6,12,9,55,25,45.4545454545455, 2.75
University of Boltway players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Dylan Howe,32,1542,0,0,0,0,0,0,0,0,0,1,0,302,77,225,0,7,3,42.8571428571429, 0.125
Vince Finlayson,32,1290,229,530,440,265,60.2272727272727,0,0,0,0,34,13,204,40,164,60,534,267,50, -1.21875
Hamish Gilroy,72,1738,147,720,784,332,42.3469387755102,0,0,98,56,53,43,289,75,214,90,750,332,44.2666666666667, -0.791666666666667
Conor Brown,96,4097,449,2158,1910,1077,56.3874345549738,0,0,16,4,115,47,645,161,484,172,1760,849,48.2386363636364, 1.0625
Dominic Wade,38,1631,547,776,668,313,46.8562874251497,235,66,6,4,42,24,172,45,127,34,819,426,52.014652014652, 0.131578947368421
Ivor Mack,65,3082,3,6,6,3,50,0,0,0,0,2,2,635,152,483,6,57,32,56.140350877193, 3.47692307692308
Eric Murden,53,1081,112,491,465,242,52.0430107526882,0,0,12,7,33,9,236,55,181,68,570,309,54.2105263157895, 0.490566037735849
Neville Alexander,55,1082,355,641,514,319,62.0622568093385,0,0,6,3,29,30,247,71,176,90,461,176,38.177874186551, 3.92727272727273
Conor Vickers,45,767,60,508,429,209,48.7179487179487,145,49,8,8,20,6,87,15,72,39,422,218,51.6587677725119, 3.46666666666667
Mitchell Spencer,40,1327,425,621,555,256,46.1261261261261,200,55,1,0,38,14,168,44,124,26,624,305,48.8782051282051, 6.025
Nestor Lavender,2,11,2,2,2,1,50,0,0,0,0,0,0,2,1,1,0,6,1,16.6666666666667, 4
William Adams,63,1638,272,701,698,348,49.8567335243553,0,0,14,5,46,121,346,86,260,144,590,240,40.6779661016949, 4.03174603174603
Dominic Murphy,7,153,22,76,71,38,53.5211267605634,0,0,0,0,3,5,17,5,12,12,80,39,48.75, 4.42857142857143
William James,2,19,3,10,7,5,71.4285714285714,0,0,0,0,1,0,0,0,0,2,7,5,71.4285714285714, -0.5
Nathaniel James,9,173,34,87,76,34,44.7368421052632,23,7,3,3,6,1,21,4,17,11,64,31,48.4375, 2.22222222222222
University of Vigim players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Nathaniel Vickers,32,1536,7,0,0,0,0,0,0,0,0,1,0,493,136,357,3,11,7,63.6363636363636, 6.40625
David Chandler,32,1246,136,319,270,158,58.5185185185185,0,0,10,3,45,10,219,58,161,57,483,247,51.1387163561077, 3.96875
