Aahrus Moosi	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Wyverncliff	Quinten Grabochov	2	94	71	69	15	45	52	63	102	90	44	62	B+	25	68.23	143	3	1	44	215
Ethanthova	Takishima Natsuo	3	30	59	91	84	44	29	91	79	84	50	66	C	28	70.59	664	2	1	43	156
Dotruga	Amoda Kixidodotsei	4	62	36	70	87	77	67	84	28	80	50	64	C+	26	71.34	870	1	1	34	136
Wyverncliff	Travis Traenfeglia	5	55	47	76	65	84	58	69	21	96	59	87	B	24	68.78	433	3	1	40	186
Holykol	Center #131	1	47	39	15	25	18	61	89	66	67	62	52	B	29	53.94	912	0	1	122	806
Wyverncliff	Quinten Grabochov	2	94	71	69	15	45	52	63	102	90	44	62	B+	25	68.23	143	3	1	44	215
Ethanthova	Takishima Natsuo	3	30	59	91	84	44	29	91	79	84	50	66	C	28	70.59	664	2	1	43	156
Kaeshar	Eŋipxuk Nipta	4	71	80	92	71	58	56	28	27	95	43	91	F	21	66.30	1422	1	1	72	292
Wyverncliff	Travis Traenfeglia	5	55	47	76	65	84	58	69	21	96	59	87	B	24	68.78	433	3	1	40	186
Holykol Bears	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Czalliso	noe  	1	102	62	23	25	39	99	57	103	66	73	81	C+	22	65.21	1244	1	1	45	353
Wyverncliff	Quinten Grabochov	2	94	71	69	15	45	52	63	102	90	44	62	B+	25	68.23	143	3	1	44	215
Dtersauuw_Sagua	Tsekon Wap't'ebw	3	73	98	92	90	28	98	60	68	70	56	104	C	28	73.64	434	-2	1	27	101
Ethanthova	Rusty Berry	4	57	63	103	116	84	70	89	22	108	38	72	C+	30	87.43	431	-2	1	5	7
Aiyota	Namia Akaleta	5	34	34	90	88	58	82	66	25	75	54	81	C+	29	69.73	601	2	1	35	172
Aeridani	Takamitsu Takeji	1	92	99	28	39	52	77	73	89	56	58	77	F	22	62.56	1434	1	1	68	463
Aeridani	Nomura Harumi	2	99	99	51	41	45	64	54	85	81	37	73	F	24	64.48	1317	2	1	82	395
Wyverncliff	Jesse Svensson	3	52	5	65	54	89	70	66	87	80	51	94	C	28	72.55	423	0	1	31	128
Tri_National_Dominion	Alwin Gradl	4	47	23	97	93	72	69	60	47	90	49	60	C	28	76.02	426	1	1	21	64
Wyverncliff	Travis Traenfeglia	5	55	47	76	65	84	58	69	21	96	59	87	B	24	68.78	433	3	1	40	186
Barsein	Barsein Player #4	1	78	51	34	26	17	45	54	84	63	51	77	C	28	52.09	782	1	1	133	843
Darvincia	Cabodu Gasbërr	2	77	98	73	21	40	49	67	98	42	100	79	F	22	60.75	1466	1	1	104	529
Blaist_Blaland	Ixbla Naxki	3	74	61	54	34	36	75	50	99	71	46	96	F	23	61.67	-1	2	1	105	484
Dotruga	Carlos Garber	4	59	18	86	81	47	23	83	23	88	49	90	C	26	66.33	885	3	1	68	288
Kaeshar	Imuk Poi	5	27	29	64	95	90	36	64	21	70	20	77	F	23	64.49	1365	3	1	71	390
Lyintaria Lynx	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Aeridani	Uemura Tadashi	1	117	114	62	32	56	81	91	111	69	19	63	B	30	74.72	442	-2	1	4	91
Barsein	Éxànnecig Hàŕselàn	2	111	76	101	72	33	56	102	133	64	95	78	B+	27	83.53	437	-2	1	4	21
Key_to_Don	Swanano Nonhkwaqan	3	61	29	85	85	61	61	62	62	90	50	82	C+	27	72.28	796	2	1	33	130
Aeridani	Lyintaria Player #6	4	22	7	105	104	47	57	81	26	81	54	67	C+	31	73.89	781	1	1	27	99
Auspikitan	Biplatza Gekxakŋi	5	69	20	44	54	94	74	87	96	41	43	56	D+	34	66.98	277	2	1	56	260
Kaeshar	Teva Ainigdine	1	64	64	32	10	28	70	56	79	65	23	80	F	21	55.08	1383	1	1	116	761
Ethanthova	David Lavender	2	96	94	68	48	59	51	33	99	84	36	68	F	22	65.22	1442	1	1	75	348
Ethanthova	Sebastien Robertson	3	62	72	88	92	59	66	53	90	55	30	4	C+	27	65.42	333	3	1	71	340
Ethanthova	William Garber	4	58	79	60	55	40	55	50	63	92	27	83	F	23	60.93	1415	2	1	131	522
Aeridani	Himi Danjuro	5	81	83	87	68	53	63	45	64	52	31	82	F	25	60.81	1303	1	1	97	525
Pyxanovia	Konala Ketthavong	1	68	78	18	23	39	65	51	93	56	60	68	F	24	53.85	1396	1	1	125	809
Kaeshar	Tibiziŋag Qeki	2	88	78	72	23	37	50	91	86	19	82	94	F	21	59.04	1414	1	1	122	598
Ethanthova	Sebastien Robertson	3	62	72	88	92	59	66	53	90	55	30	4	C+	27	65.42	333	3	1	71	340
Blaist_Blaland	Uxku Noxkol	4	72	67	89	68	36	47	58	28	67	91	58	F	24	58.60	1335	0	1	149	620
Dtersauuw_Sagua	Ivek'il Wap't'ebw	5	32	25	80	59	67	50	47	14	81	37	80	F	23	58.52	1474	1	1	123	628
Pyxanovia Pixies	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dotruga	Alubembi Keget	1	96	92	63	19	47	67	65	96	87	74	72	F	23	68.04	1358	3	7.74191066066066	21	228
Auspikitan	Eiqe Vokigei	2	85	79	75	81	68	77	104	94	82	34	96	B	29	84.16	166	2	1	2	17
Loviniosa	Malo Sayasone	3	75	61	104	82	100	77	63	68	58	64	70	C+	31	75.59	238	3	1	14	70
Barsein	Akamine Naizen	4	59	48	112	102	70	76	100	33	125	59	89	C	29	91.51	170	-1	1	3	2
Barsein	Barsein Player #2	5	75	50	96	89	75	58	57	49	86	49	100	B	32	73.16	779	1	1	21	112
Tri_National_Dominion	Marcel Weidenmann	1	90	72	39	37	56	48	90	97	78	101	79	B	29	67.16	463	-1	1.8	27	256
Tri_National_Dominion	Reinhard Waldstein	2	74	88	59	27	51	91	87	107	64	81	93	B	27	75.85	457	-1	1	19	66
Loviniosa	Malo Sayasone	3	75	61	104	82	100	77	63	68	58	64	70	C+	31	75.59	238	3	1	14	70
Dotruga	Amoda Kixidodotsei	4	62	36	70	87	77	67	84	28	80	50	64	C+	26	71.34	870	1	1	34	136
Aeridani	Himi Danjuro	5	81	83	87	68	53	63	45	64	52	31	82	F	23	60.81	1387	1	1	97	525
Aeridani	Nagata Taki	1	63	99	40	25	46	78	71	112	63	95	74	B	27	66.91	336	1	1	28	264
Czalliso	tag	2	93	64	36	43	57	51	101	99	61	45	52	C+	31	66.39	452	0	1	65	274
Ethanthova	Eric Gilroy	3	69	66	74	82	80	86	64	16	82	63	57	B	27	68.39	735	2	1	49	211
Dotruga	Amoda Kixidodotsei	4	62	36	70	87	77	67	84	28	80	50	64	C+	26	71.34	870	1	1	34	136
Red_Rainbow	Red Rainbow Player #2	5	96	26	1	100	1	95	104	1	103	45	99	D	28	60.67	425	2	1	101	532
Transhimalia Disasters	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Tri_National_Dominion	Asser Hutto 	1	106	53	48	46	61	77	71	91	85	45	74	C	27	71.03	1254	0	1	11	150
Auspikitan	Iveo Vokigei	2	109	105	48	33	45	78	90	105	89	80	84	C+	26	76.88	218	-3	1	15	58
Bielosia	Kalani Phanivong	3	55	69	89	110	78	74	63	62	103	84	90	B	24	82.22	480	1	5.8	9	28
Tri_National_Dominion	Asser Stengel	4	54	33	73	106	58	83	81	33	78	8	51	B	22	73.19	886	-1	1	31	110
Transhimalia	Steve Masuhiro	5	62	46	109	109	109	81	92	13	95	75	97	C+	27	89.86	470	2	17.6	3	5
Aiyota	Timblejoornay	1	97	83	11	11	48	63	88	110	66	50	77	C+	28	63.40	466	-1	1	64	427
Darvincia	Easy	2	51	58	48	49	22	103	67	72	75	54	94	B	29	68.50	666	0	1	41	202
Dtersauuw_Sagua	Tsekon Wap't'ebw	3	73	98	92	90	28	98	60	68	70	56	104	C	28	73.64	434	-2	1	27	101
Sagua	Kolnu Auprat	4	77	51	99	100	23	57	60	58	78	23	67	B	27	69.68	589	3	1	45	176
Bielosia	Bane Souksanh	5	55	57	41	78	91	28	98	34	32	77	96	F	22	61.15	1437	1	1	94	503
Bielosia	Malo Phanivong	1	50	66	30	13	18	79	73	91	23	94	98	F	22	53.90	1469	1	1	124	808
Ethanthova	David Lavender	2	96	94	68	48	59	51	33	99	84	36	68	F	23	65.22	1372	3	1	75	348
Key_to_Don	Key To Don Player #4	3	13	56	86	46	103	90	60	89	7	53	96	C	33	65.30	169	-1	1	77	346
Sagua	Kolnu Auprat	4	77	51	99	100	23	57	60	58	78	23	67	B	27	69.68	589	3	1	45	176
Shmupland	Chu Minsu	5	51	47	77	72	71	67	58	27	32	73	67	F	23	59.51	1411	1	1	118	584
