Game 1,Home,Score,Away,Score
,Red Rainbow Sickles,113,Shmupland Dictators,124
,Naxda Nomads,120,Aiyota Pumps,121
,Kaeshar Kaisers,113,Avura Aviators,133
,Blanaxon Hammers,115,Boltway Bad Dragons,124
,Barsein Bats,104,Dotruga Falno,123
,Autolik Autonomy,112,Ethanthova Ponies,109
,Solea Geysers,120,Faehrenfall Feathercats,129
,Sagua Ocelots,111,Stedro Boulders,116
,Manwx Saguans,131,TND Tanks,114
,Key to Don Yees,116,Bongatar Banging Bongos,113
,Height Sagua Cats,115,Czalliso Pythons,114
,Calto Cows,103,Dvimne Spirits,121
,Auspikitan Golden Falcons,124,Holy Yektonisa Bishops,134
,Transhimalia Disasters,115,Holykol Bears,131
,Pyxanovia Pixies,136,Lyintaria Lynx,131
Game 68,Home,Score,Away,Score
,Serkr Atolls,128,Aahrus Moosi,118
,Shmupland Dictators,121,Red Rainbow Sickles,120
,Aiyota Pumps,130,Naxda Nomads,131
,Avura Aviators,128,Kaeshar Kaisers,124
,Boltway Bad Dragons,107,Blanaxon Hammers,130
,Dotruga Falno,95,Barsein Bats,96
,Ethanthova Ponies,113,Autolik Autonomy,104
,Faehrenfall Feathercats,108,Solea Geysers,119
,Stedro Boulders,102,Sagua Ocelots,110
,TND Tanks,129,Manwx Saguans,141
,Bongatar Banging Bongos,129,Key to Don Yees,113
,Czalliso Pythons,116,Height Sagua Cats,108
,Dvimne Spirits,122,Calto Cows,112
,Holy Yektonisa Bishops,113,Auspikitan Golden Falcons,131
,Holykol Bears,115,Transhimalia Disasters,117
,Lyintaria Lynx,114,Pyxanovia Pixies,115
Game 69,Home,Score,Away,Score
,Holy Yektonisa Bishops,131,Transhimalia Disasters,120
,Dvimne Spirits,136,Holykol Bears,107
,Czalliso Pythons,119,Lyintaria Lynx,133
,Bongatar Banging Bongos,121,Pyxanovia Pixies,108
,TND Tanks,105,Aiyota Pumps,127
,Stedro Boulders,114,Avura Aviators,117
,Faehrenfall Feathercats,111,Boltway Bad Dragons,115
,Ethanthova Ponies,129,Dotruga Falno,110
,Key to Don Yees,129,Aahrus Moosi,132
,Manwx Saguans,120,Height Sagua Cats,125
,Sagua Ocelots,140,Calto Cows,123
,Solea Geysers,112,Auspikitan Golden Falcons,123
,Autolik Autonomy,143,Shmupland Dictators,150
,Barsein Bats,127,Serkr Atolls,120
,Blanaxon Hammers,129,Red Rainbow Sickles,130
,Kaeshar Kaisers,124,Naxda Nomads,123
Game 70,Home,Score,Away,Score
,Czalliso Pythons,117,Transhimalia Disasters,124
,Bongatar Banging Bongos,109,Dvimne Spirits,115
,TND Tanks,128,Holy Yektonisa Bishops,123
,Stedro Boulders,134,Holykol Bears,121
,Faehrenfall Feathercats,131,Lyintaria Lynx,119
,Ethanthova Ponies,122,Pyxanovia Pixies,117
,Dotruga Falno,107,Aiyota Pumps,99
,Boltway Bad Dragons,110,Avura Aviators,113
,Sagua Ocelots,122,Aahrus Moosi,129
,Solea Geysers,116,Manwx Saguans,124
,Autolik Autonomy,114,Key to Don Yees,108
,Barsein Bats,127,Height Sagua Cats,128
,Blanaxon Hammers,142,Calto Cows,139
,Kaeshar Kaisers,125,Auspikitan Golden Falcons,117
,Naxda Nomads,111,Shmupland Dictators,109
,Red Rainbow Sickles,111,Serkr Atolls,135
Game 71,Home,Score,Away,Score
,Transhimalia Disasters,122,Aiyota Pumps,114
,Pyxanovia Pixies,123,Avura Aviators,122
,Lyintaria Lynx,129,Boltway Bad Dragons,136
,Holykol Bears,123,Dotruga Falno,126
,Holy Yektonisa Bishops,130,Ethanthova Ponies,112
,Dvimne Spirits,127,Faehrenfall Feathercats,108
,Czalliso Pythons,113,Stedro Boulders,121
,Bongatar Banging Bongos,122,TND Tanks,113
,Aahrus Moosi,114,Shmupland Dictators,120
,Auspikitan Golden Falcons,114,Serkr Atolls,142
,Calto Cows,127,Red Rainbow Sickles,108
,Height Sagua Cats,115,Naxda Nomads,107
,Key to Don Yees,135,Kaeshar Kaisers,136
,Manwx Saguans,127,Blanaxon Hammers,132
,Sagua Ocelots,106,Barsein Bats,133
,Solea Geysers,119,Autolik Autonomy,107
Game 72,Home,Score,Away,Score
,Transhimalia Disasters,132,Aahrus Moosi,137
,Pyxanovia Pixies,126,Auspikitan Golden Falcons,118
,Lyintaria Lynx,111,Calto Cows,120
,Holykol Bears,112,Height Sagua Cats,136
,Holy Yektonisa Bishops,114,Key to Don Yees,139
,Dvimne Spirits,110,Manwx Saguans,107
,Czalliso Pythons,132,Sagua Ocelots,105
,Bongatar Banging Bongos,136,Solea Geysers,142
,TND Tanks,116,Autolik Autonomy,123
,Stedro Boulders,144,Barsein Bats,131
,Faehrenfall Feathercats,132,Blanaxon Hammers,128
,Ethanthova Ponies,118,Kaeshar Kaisers,111
,Dotruga Falno,115,Naxda Nomads,122
,Boltway Bad Dragons,138,Red Rainbow Sickles,136
,Avura Aviators,123,Serkr Atolls,141
,Aiyota Pumps,122,Shmupland Dictators,97
Game 73,Home,Score,Away,Score
,Key to Don Yees,121,Aahrus Moosi,130
,Manwx Saguans,122,Height Sagua Cats,111
,Sagua Ocelots,124,Calto Cows,127
,Solea Geysers,113,Auspikitan Golden Falcons,136
,Autolik Autonomy,148,Transhimalia Disasters,116
,Barsein Bats,125,Pyxanovia Pixies,129
,Blanaxon Hammers,138,Lyintaria Lynx,127
,Kaeshar Kaisers,105,Holykol Bears,120
,Naxda Nomads,121,Holy Yektonisa Bishops,120
,Red Rainbow Sickles,117,Dvimne Spirits,125
,Serkr Atolls,107,Czalliso Pythons,121
,Shmupland Dictators,106,Bongatar Banging Bongos,146
,Aiyota Pumps,142,TND Tanks,121
,Avura Aviators,129,Stedro Boulders,120
,Boltway Bad Dragons,114,Faehrenfall Feathercats,123
,Dotruga Falno,107,Ethanthova Ponies,118
Game 74,Home,Score,Away,Score
,Aahrus Moosi,119,Calto Cows,131
,Auspikitan Golden Falcons,134,Height Sagua Cats,121
,Transhimalia Disasters,109,Key to Don Yees,116
,Pyxanovia Pixies,117,Manwx Saguans,112
,Lyintaria Lynx,114,Sagua Ocelots,127
,Holykol Bears,129,Solea Geysers,134
,Holy Yektonisa Bishops,109,Autolik Autonomy,98
,Dvimne Spirits,112,Barsein Bats,108
,Czalliso Pythons,117,Blanaxon Hammers,124
,Bongatar Banging Bongos,103,Kaeshar Kaisers,109
,TND Tanks,123,Naxda Nomads,125
,Stedro Boulders,118,Red Rainbow Sickles,108
,Faehrenfall Feathercats,121,Serkr Atolls,131
,Ethanthova Ponies,126,Shmupland Dictators,119
,Dotruga Falno,125,Aiyota Pumps,122
,Boltway Bad Dragons,115,Avura Aviators,116
Game 75,Home,Score,Away,Score
,Kaeshar Kaisers,112,Aahrus Moosi,126
,Blanaxon Hammers,129,Naxda Nomads,120
,Barsein Bats,121,Red Rainbow Sickles,124
,Autolik Autonomy,122,Serkr Atolls,121
,Solea Geysers,128,Shmupland Dictators,116
,Sagua Ocelots,123,Aiyota Pumps,117
,Manwx Saguans,121,Avura Aviators,111
,Key to Don Yees,130,Boltway Bad Dragons,119
,Height Sagua Cats,125,Dotruga Falno,136
,Calto Cows,110,Ethanthova Ponies,113
,Auspikitan Golden Falcons,128,Faehrenfall Feathercats,125
,Transhimalia Disasters,150,Stedro Boulders,144
,Pyxanovia Pixies,120,TND Tanks,124
,Lyintaria Lynx,119,Bongatar Banging Bongos,108
,Holykol Bears,125,Czalliso Pythons,117
,Holy Yektonisa Bishops,121,Dvimne Spirits,129
Game 76,Home,Score,Away,Score
,Barsein Bats,110,Aahrus Moosi,132
,Autolik Autonomy,122,Blanaxon Hammers,119
,Solea Geysers,113,Kaeshar Kaisers,130
,Sagua Ocelots,134,Naxda Nomads,129
,Manwx Saguans,118,Red Rainbow Sickles,114
,Key to Don Yees,108,Serkr Atolls,119
,Height Sagua Cats,107,Shmupland Dictators,111
,Calto Cows,132,Aiyota Pumps,131
,Auspikitan Golden Falcons,126,Avura Aviators,121
,Transhimalia Disasters,148,Boltway Bad Dragons,134
,Pyxanovia Pixies,101,Dotruga Falno,108
,Lyintaria Lynx,109,Ethanthova Ponies,117
,Holykol Bears,115,Faehrenfall Feathercats,104
,Holy Yektonisa Bishops,110,Stedro Boulders,103
,Dvimne Spirits,122,TND Tanks,107
,Czalliso Pythons,122,Bongatar Banging Bongos,110
Game 77,Home,Score,Away,Score
,Bongatar Banging Bongos,124,Aahrus Moosi,101
,Czalliso Pythons,112,TND Tanks,115
,Dvimne Spirits,133,Stedro Boulders,115
,Holy Yektonisa Bishops,107,Faehrenfall Feathercats,113
,Holykol Bears,126,Ethanthova Ponies,111
,Lyintaria Lynx,107,Dotruga Falno,114
,Pyxanovia Pixies,109,Boltway Bad Dragons,124
,Transhimalia Disasters,112,Avura Aviators,115
,Auspikitan Golden Falcons,112,Aiyota Pumps,128
,Calto Cows,126,Shmupland Dictators,112
,Height Sagua Cats,127,Serkr Atolls,131
,Key to Don Yees,123,Red Rainbow Sickles,120
,Manwx Saguans,101,Naxda Nomads,109
,Sagua Ocelots,124,Kaeshar Kaisers,120
,Solea Geysers,115,Blanaxon Hammers,120
,Autolik Autonomy,100,Barsein Bats,110
Game 78,Home,Score,Away,Score
,Holykol Bears,122,Aahrus Moosi,124
,Lyintaria Lynx,119,Holy Yektonisa Bishops,125
,Pyxanovia Pixies,109,Dvimne Spirits,121
,Transhimalia Disasters,126,Czalliso Pythons,127
,Auspikitan Golden Falcons,132,Bongatar Banging Bongos,141
,Calto Cows,122,TND Tanks,107
,Height Sagua Cats,111,Stedro Boulders,109
,Key to Don Yees,126,Faehrenfall Feathercats,131
,Manwx Saguans,119,Ethanthova Ponies,143
,Sagua Ocelots,122,Dotruga Falno,112
,Solea Geysers,132,Boltway Bad Dragons,125
,Autolik Autonomy,109,Avura Aviators,103
,Barsein Bats,125,Aiyota Pumps,126
,Blanaxon Hammers,122,Shmupland Dictators,116
,Kaeshar Kaisers,136,Serkr Atolls,130
,Naxda Nomads,105,Red Rainbow Sickles,124
Game 79,Home,Score,Away,Score
,TND Tanks,143,Transhimalia Disasters,121
,Stedro Boulders,110,Bongatar Banging Bongos,120
,Faehrenfall Feathercats,102,Czalliso Pythons,117
,Ethanthova Ponies,136,Dvimne Spirits,122
,Dotruga Falno,122,Holy Yektonisa Bishops,129
,Boltway Bad Dragons,132,Holykol Bears,129
,Avura Aviators,114,Lyintaria Lynx,118
,Aiyota Pumps,125,Pyxanovia Pixies,137
,Autolik Autonomy,120,Aahrus Moosi,123
,Barsein Bats,131,Solea Geysers,134
,Blanaxon Hammers,127,Sagua Ocelots,117
,Kaeshar Kaisers,123,Manwx Saguans,121
,Naxda Nomads,111,Key to Don Yees,110
,Red Rainbow Sickles,115,Height Sagua Cats,122
,Serkr Atolls,108,Calto Cows,135
,Shmupland Dictators,117,Auspikitan Golden Falcons,110
Game 80,Home,Score,Away,Score
,Aahrus Moosi,118,Dotruga Falno,121
,Ethanthova Ponies,121,Boltway Bad Dragons,122
,Faehrenfall Feathercats,111,Avura Aviators,122
,Stedro Boulders,116,Aiyota Pumps,120
,TND Tanks,132,Shmupland Dictators,111
,Bongatar Banging Bongos,142,Serkr Atolls,135
,Czalliso Pythons,120,Red Rainbow Sickles,108
,Dvimne Spirits,137,Naxda Nomads,126
,Holy Yektonisa Bishops,103,Kaeshar Kaisers,105
,Holykol Bears,114,Blanaxon Hammers,116
,Lyintaria Lynx,112,Barsein Bats,129
,Pyxanovia Pixies,126,Autolik Autonomy,105
,Transhimalia Disasters,119,Solea Geysers,117
,Auspikitan Golden Falcons,117,Sagua Ocelots,126
,Calto Cows,132,Manwx Saguans,133
,Height Sagua Cats,122,Key to Don Yees,123
Game 81,Home,Score,Away,Score
,Dvimne Spirits,118,Aahrus Moosi,110
,Holy Yektonisa Bishops,104,Czalliso Pythons,115
,Holykol Bears,116,Bongatar Banging Bongos,120
,Lyintaria Lynx,135,TND Tanks,127
,Pyxanovia Pixies,124,Stedro Boulders,120
,Transhimalia Disasters,127,Faehrenfall Feathercats,131
,Auspikitan Golden Falcons,127,Ethanthova Ponies,111
,Calto Cows,144,Dotruga Falno,121
,Height Sagua Cats,126,Boltway Bad Dragons,129
,Key to Don Yees,130,Avura Aviators,114
,Manwx Saguans,117,Aiyota Pumps,136
,Sagua Ocelots,136,Shmupland Dictators,128
,Solea Geysers,126,Serkr Atolls,119
,Autolik Autonomy,116,Red Rainbow Sickles,121
,Barsein Bats,121,Naxda Nomads,119
,Blanaxon Hammers,133,Kaeshar Kaisers,137
Game 82,Home,Score,Away,Score
,Aahrus Moosi,133,Manwx Saguans,138
,Sagua Ocelots,127,Key to Don Yees,119
,Solea Geysers,111,Height Sagua Cats,114
,Auspikitan Golden Falcons,124,Calto Cows,108
,Autolik Autonomy,125,Red Rainbow Sickles,108
,Serkr Atolls,137,Naxda Nomads,110
,Shmupland Dictators,116,Kaeshar Kaisers,120
,Barsein Bats,115,Blanaxon Hammers,132
,Transhimalia Disasters,143,Dvimne Spirits,134
,Czalliso Pythons,136,Holy Yektonisa Bishops,128
,Bongatar Banging Bongos,107,Holykol Bears,124
,Pyxanovia Pixies,127,Lyintaria Lynx,121
,TND Tanks,116,Boltway Bad Dragons,132
,Avura Aviators,118,Dotruga Falno,106
,Aiyota Pumps,138,Ethanthova Ponies,128
,Stedro Boulders,106,Faehrenfall Feathercats,109
Game 83,Home,Score,Away,Score
,Aahrus Moosi,136,Boltway Bad Dragons,118
,Avura Aviators,129,Dotruga Falno,126
,Aiyota Pumps,112,Ethanthova Ponies,118
,Shmupland Dictators,114,Faehrenfall Feathercats,117
,Serkr Atolls,117,Stedro Boulders,131
,Red Rainbow Sickles,131,TND Tanks,128
,Naxda Nomads,118,Bongatar Banging Bongos,116
,Kaeshar Kaisers,119,Czalliso Pythons,126
,Blanaxon Hammers,134,Dvimne Spirits,129
,Barsein Bats,108,Holy Yektonisa Bishops,95
,Autolik Autonomy,126,Holykol Bears,136
,Solea Geysers,116,Lyintaria Lynx,111
,Sagua Ocelots,124,Pyxanovia Pixies,106
,Manwx Saguans,117,Transhimalia Disasters,120
,Key to Don Yees,131,Auspikitan Golden Falcons,130
,Height Sagua Cats,125,Calto Cows,122
Game 84,Home,Score,Away,Score
,Aahrus Moosi,119,Dvimne Spirits,141
,Czalliso Pythons,111,Holy Yektonisa Bishops,109
,Bongatar Banging Bongos,93,Holykol Bears,105
,TND Tanks,125,Lyintaria Lynx,133
,Stedro Boulders,118,Pyxanovia Pixies,101
,Faehrenfall Feathercats,123,Transhimalia Disasters,137
,Ethanthova Ponies,134,Auspikitan Golden Falcons,131
,Dotruga Falno,117,Calto Cows,106
,Boltway Bad Dragons,125,Height Sagua Cats,123
,Avura Aviators,108,Key to Don Yees,105
,Aiyota Pumps,107,Manwx Saguans,119
,Shmupland Dictators,133,Sagua Ocelots,132
,Serkr Atolls,142,Solea Geysers,138
,Red Rainbow Sickles,112,Autolik Autonomy,116
,Naxda Nomads,135,Barsein Bats,121
,Kaeshar Kaisers,109,Blanaxon Hammers,133
Game 1,Home,Score,Away,Score
,Sagua Ocelots,123,Barsein Bats,122
,Calto Cows,131,Serkr Atolls,121
,Manwx Saguans,129,Blanaxon Hammers,122
,Solea Geysers,118,Kaeshar Kaisers,106
,Dvimne Spirits,118,Holykol Bears,117
,Dotruga Falno,121,Faehrenfall Feathercats,108
,Aiyota Pumps,129,Ethanthova Ponies,136
,Boltway Bad Dragons,110,Pyxanovia Pixies,124
,Aahrus Moosi,125,Shmupland Dictators,119
,Naxda Nomads,137,Red Rainbow Sickles,131
,Key to Don Yees,146,Auspikitan Golden Falcons,135
,Autolik Autonomy,127,Height Sagua Cats,114
,Bongatar Banging Bongos,124,TND Tanks,115
,Transhimalia Disasters,122,Avura Aviators,116
,Holy Yektonisa Bishops,126,Lyintaria Lynx,130
,Czalliso Pythons,131,Stedro Boulders,127
Game 2,Home,Score,Away,Score
,Sagua Ocelots,125,Barsein Bats,137
,Calto Cows,138,Serkr Atolls,130
,Manwx Saguans,120,Blanaxon Hammers,138
,Solea Geysers,117,Kaeshar Kaisers,130
,Dvimne Spirits,125,Holykol Bears,137
,Dotruga Falno,125,Faehrenfall Feathercats,116
,Aiyota Pumps,121,Ethanthova Ponies,130
,Boltway Bad Dragons,136,Pyxanovia Pixies,126
,Aahrus Moosi,115,Shmupland Dictators,116
,Naxda Nomads,107,Red Rainbow Sickles,96
,Key to Don Yees,124,Auspikitan Golden Falcons,128
,Autolik Autonomy,147,Height Sagua Cats,145
,Bongatar Banging Bongos,142,TND Tanks,118
,Transhimalia Disasters,115,Avura Aviators,114
,Holy Yektonisa Bishops,111,Lyintaria Lynx,118
,Czalliso Pythons,121,Stedro Boulders,130
Game 3,Home,Score,Away,Score
,Barsein Bats,112,Sagua Ocelots,128
,Serkr Atolls,123,Calto Cows,129
,Blanaxon Hammers,118,Manwx Saguans,123
,Kaeshar Kaisers,101,Solea Geysers,113
,Holykol Bears,132,Dvimne Spirits,133
,Faehrenfall Feathercats,138,Dotruga Falno,143
,Ethanthova Ponies,130,Aiyota Pumps,118
,Pyxanovia Pixies,89,Boltway Bad Dragons,132
,Shmupland Dictators,122,Aahrus Moosi,123
,Red Rainbow Sickles,129,Naxda Nomads,122
,Auspikitan Golden Falcons,125,Key to Don Yees,135
,Height Sagua Cats,107,Autolik Autonomy,114
,TND Tanks,131,Bongatar Banging Bongos,111
,Avura Aviators,118,Transhimalia Disasters,114
,Lyintaria Lynx,117,Holy Yektonisa Bishops,106
,Stedro Boulders,145,Czalliso Pythons,142
Game 4,Home,Score,Away,Score
,Barsein Bats,134,Sagua Ocelots,131
,Serkr Atolls,126,Calto Cows,130
,Blanaxon Hammers,118,Manwx Saguans,131
,Kaeshar Kaisers,120,Solea Geysers,132
,Holykol Bears,138,Dvimne Spirits,142
,Faehrenfall Feathercats,118,Dotruga Falno,115
,Ethanthova Ponies,112,Aiyota Pumps,118
,Pyxanovia Pixies,109,Boltway Bad Dragons,129
,Shmupland Dictators,117,Aahrus Moosi,124
,Red Rainbow Sickles,132,Naxda Nomads,119
,Auspikitan Golden Falcons,118,Key to Don Yees,102
,Height Sagua Cats,126,Autolik Autonomy,129
,TND Tanks,117,Bongatar Banging Bongos,141
,Avura Aviators,127,Transhimalia Disasters,117
,Lyintaria Lynx,105,Holy Yektonisa Bishops,112
,Stedro Boulders,129,Czalliso Pythons,148
Game 5,Home,Score,Away,Score
,Sagua Ocelots,129,Barsein Bats,118
,Manwx Saguans,115,Blanaxon Hammers,121
,Solea Geysers,109,Kaeshar Kaisers,128
,Dvimne Spirits,126,Holykol Bears,115
,Dotruga Falno,122,Faehrenfall Feathercats,123
,Aiyota Pumps,103,Ethanthova Ponies,125
,Boltway Bad Dragons,127,Pyxanovia Pixies,138
,Aahrus Moosi,139,Shmupland Dictators,136
,Naxda Nomads,117,Red Rainbow Sickles,106
,Key to Don Yees,128,Auspikitan Golden Falcons,122
,Bongatar Banging Bongos,115,TND Tanks,124
,Transhimalia Disasters,113,Avura Aviators,130
,Holy Yektonisa Bishops,111,Lyintaria Lynx,127
,Czalliso Pythons,123,Stedro Boulders,141
Game 6,Home,Score,Away,Score
,Barsein Bats,121,Sagua Ocelots,120
,Blanaxon Hammers,132,Manwx Saguans,140
,Kaeshar Kaisers,130,Solea Geysers,119
,Faehrenfall Feathercats,125,Dotruga Falno,112
,Pyxanovia Pixies,143,Boltway Bad Dragons,142
,Red Rainbow Sickles,115,Naxda Nomads,113
,Auspikitan Golden Falcons,157,Key to Don Yees,156
,TND Tanks,110,Bongatar Banging Bongos,120
,Avura Aviators,114,Transhimalia Disasters,113
,Stedro Boulders,129,Czalliso Pythons,147
Game 7,Home,Score,Away,Score
,Sagua Ocelots,113,Barsein Bats,114
,Solea Geysers,139,Kaeshar Kaisers,140
,Dotruga Falno,120,Faehrenfall Feathercats,126
,Boltway Bad Dragons,126,Pyxanovia Pixies,113
,Naxda Nomads,122,Red Rainbow Sickles,131
,Key to Don Yees,121,Auspikitan Golden Falcons,125
,Czalliso Pythons,135,Stedro Boulders,134
Game 1,Home,Score,Away,Score
,Kaeshar Kaisers,118,Barsein Bats,117
,Calto Cows,137,Manwx Saguans,110
,Sagua Ocelots,105,Solea Geysers,124
,Blanaxon Hammers,133,Serkr Atolls,121
,Dvimne Spirits,134,Boltway Bad Dragons,121
,Ethanthova Ponies,114,Faehrenfall Feathercats,112
,Pyxanovia Pixies,125,Holykol Bears,134
,Dotruga Falno,130,Aiyota Pumps,125
,Aahrus Moosi,103,Autolik Autonomy,99
,Auspikitan Golden Falcons,126,Red Rainbow Sickles,111
,Height Sagua Cats,134,Shmupland Dictators,157
,Naxda Nomads,134,Key to Don Yees,98
,Bongatar Banging Bongos,127,Czalliso Pythons,136
,Lyintaria Lynx,131,Avura Aviators,127
,Stedro Boulders,118,TND Tanks,114
,Transhimalia Disasters,134,Holy Yektonisa Bishops,116
Game 2,Home,Score,Away,Score
,Kaeshar Kaisers,113,Barsein Bats,117
,Calto Cows,134,Manwx Saguans,121
,Sagua Ocelots,115,Solea Geysers,111
,Blanaxon Hammers,139,Serkr Atolls,137
,Dvimne Spirits,152,Boltway Bad Dragons,127
,Ethanthova Ponies,132,Faehrenfall Feathercats,129
,Pyxanovia Pixies,123,Holykol Bears,126
,Dotruga Falno,100,Aiyota Pumps,108
,Aahrus Moosi,138,Autolik Autonomy,113
,Auspikitan Golden Falcons,111,Red Rainbow Sickles,118
,Height Sagua Cats,119,Shmupland Dictators,121
,Naxda Nomads,112,Key to Don Yees,116
,Bongatar Banging Bongos,129,Czalliso Pythons,118
,Lyintaria Lynx,126,Avura Aviators,106
,Stedro Boulders,127,TND Tanks,135
,Transhimalia Disasters,113,Holy Yektonisa Bishops,121
Game 3,Home,Score,Away,Score
,Barsein Bats,142,Kaeshar Kaisers,144
,Manwx Saguans,129,Calto Cows,143
,Solea Geysers,131,Sagua Ocelots,125
,Serkr Atolls,116,Blanaxon Hammers,125
,Boltway Bad Dragons,116,Dvimne Spirits,121
,Faehrenfall Feathercats,115,Ethanthova Ponies,124
,Holykol Bears,114,Pyxanovia Pixies,127
,Aiyota Pumps,137,Dotruga Falno,136
,Autolik Autonomy,98,Aahrus Moosi,114
,Red Rainbow Sickles,111,Auspikitan Golden Falcons,135
,Shmupland Dictators,103,Height Sagua Cats,124
,Key to Don Yees,132,Naxda Nomads,116
,Czalliso Pythons,143,Bongatar Banging Bongos,140
,Avura Aviators,118,Lyintaria Lynx,114
,TND Tanks,144,Stedro Boulders,115
,Holy Yektonisa Bishops,113,Transhimalia Disasters,118
Game 4,Home,Score,Away,Score
,Barsein Bats,129,Kaeshar Kaisers,113
,Manwx Saguans,129,Calto Cows,138
,Solea Geysers,126,Sagua Ocelots,138
,Serkr Atolls,131,Blanaxon Hammers,127
,Boltway Bad Dragons,111,Dvimne Spirits,139
,Faehrenfall Feathercats,132,Ethanthova Ponies,121
,Holykol Bears,128,Pyxanovia Pixies,124
,Aiyota Pumps,102,Dotruga Falno,113
,Autolik Autonomy,130,Aahrus Moosi,127
,Red Rainbow Sickles,110,Auspikitan Golden Falcons,109
,Shmupland Dictators,120,Height Sagua Cats,124
,Key to Don Yees,135,Naxda Nomads,136
,Czalliso Pythons,131,Bongatar Banging Bongos,138
,Avura Aviators,142,Lyintaria Lynx,135
,TND Tanks,114,Stedro Boulders,110
,Holy Yektonisa Bishops,113,Transhimalia Disasters,141
Game 5,Home,Score,Away,Score
,Kaeshar Kaisers,129,Barsein Bats,114
,Sagua Ocelots,111,Solea Geysers,125
,Blanaxon Hammers,115,Serkr Atolls,126
,Ethanthova Ponies,121,Faehrenfall Feathercats,120
,Pyxanovia Pixies,116,Holykol Bears,117
,Dotruga Falno,121,Aiyota Pumps,122
,Aahrus Moosi,116,Autolik Autonomy,119
,Auspikitan Golden Falcons,108,Red Rainbow Sickles,99
,Height Sagua Cats,153,Shmupland Dictators,151
,Naxda Nomads,136,Key to Don Yees,138
,Bongatar Banging Bongos,124,Czalliso Pythons,117
,Lyintaria Lynx,127,Avura Aviators,116
,Stedro Boulders,110,TND Tanks,113
,Transhimalia Disasters,130,Holy Yektonisa Bishops,127
Game 6,Home,Score,Away,Score
,Barsein Bats,117,Kaeshar Kaisers,99
,Solea Geysers,131,Sagua Ocelots,128
,Serkr Atolls,123,Blanaxon Hammers,113
,Aiyota Pumps,127,Dotruga Falno,128
,Autolik Autonomy,135,Aahrus Moosi,137
,Red Rainbow Sickles,110,Auspikitan Golden Falcons,138
,Shmupland Dictators,114,Height Sagua Cats,125
,Key to Don Yees,126,Naxda Nomads,123
,Czalliso Pythons,113,Bongatar Banging Bongos,132
,Avura Aviators,124,Lyintaria Lynx,125
Game 7,Home,Score,Away,Score
,Kaeshar Kaisers,127,Barsein Bats,134
,Blanaxon Hammers,131,Serkr Atolls,135
,Dotruga Falno,140,Aiyota Pumps,130
Game 1,Home,Score,Away,Score
,Calto Cows,116,Barsein Bats,117
,Solea Geysers,111,Serkr Atolls,119
,Manwx Saguans,106,Kaeshar Kaisers,101
,Sagua Ocelots,131,Blanaxon Hammers,109
,Dvimne Spirits,127,Ethanthova Ponies,130
,Dotruga Falno,119,Holykol Bears,106
,Boltway Bad Dragons,122,Faehrenfall Feathercats,119
,Aiyota Pumps,123,Pyxanovia Pixies,119
,Aahrus Moosi,120,Auspikitan Golden Falcons,105
,Key to Don Yees,126,Height Sagua Cats,114
,Autolik Autonomy,139,Red Rainbow Sickles,136
,Naxda Nomads,123,Shmupland Dictators,126
,Bongatar Banging Bongos,122,Lyintaria Lynx,108
,Transhimalia Disasters,115,TND Tanks,110
,Czalliso Pythons,134,Avura Aviators,129
,Holy Yektonisa Bishops,137,Stedro Boulders,132
Game 2,Home,Score,Away,Score
,Calto Cows,139,Barsein Bats,128
,Solea Geysers,132,Serkr Atolls,143
,Manwx Saguans,121,Kaeshar Kaisers,112
,Sagua Ocelots,120,Blanaxon Hammers,124
,Dvimne Spirits,121,Ethanthova Ponies,111
,Dotruga Falno,120,Holykol Bears,115
,Boltway Bad Dragons,107,Faehrenfall Feathercats,103
,Aiyota Pumps,117,Pyxanovia Pixies,106
,Aahrus Moosi,121,Auspikitan Golden Falcons,132
,Key to Don Yees,126,Height Sagua Cats,120
,Autolik Autonomy,109,Red Rainbow Sickles,119
,Naxda Nomads,114,Shmupland Dictators,111
,Bongatar Banging Bongos,112,Lyintaria Lynx,131
,Transhimalia Disasters,107,TND Tanks,115
,Czalliso Pythons,120,Avura Aviators,123
,Holy Yektonisa Bishops,124,Stedro Boulders,127
Game 3,Home,Score,Away,Score
,Barsein Bats,109,Calto Cows,119
,Serkr Atolls,110,Solea Geysers,136
,Kaeshar Kaisers,123,Manwx Saguans,116
,Blanaxon Hammers,123,Sagua Ocelots,120
,Ethanthova Ponies,99,Dvimne Spirits,119
,Holykol Bears,119,Dotruga Falno,132
,Faehrenfall Feathercats,146,Boltway Bad Dragons,123
,Pyxanovia Pixies,123,Aiyota Pumps,124
,Auspikitan Golden Falcons,101,Aahrus Moosi,118
,Height Sagua Cats,121,Key to Don Yees,129
,Red Rainbow Sickles,105,Autolik Autonomy,120
,Shmupland Dictators,116,Naxda Nomads,113
,Lyintaria Lynx,114,Bongatar Banging Bongos,143
,TND Tanks,125,Transhimalia Disasters,126
,Avura Aviators,110,Czalliso Pythons,126
,Stedro Boulders,111,Holy Yektonisa Bishops,121
Game 4,Home,Score,Away,Score
,Barsein Bats,111,Calto Cows,107
,Serkr Atolls,126,Solea Geysers,105
,Kaeshar Kaisers,120,Manwx Saguans,119
,Blanaxon Hammers,121,Sagua Ocelots,125
,Ethanthova Ponies,119,Dvimne Spirits,134
,Holykol Bears,122,Dotruga Falno,156
